timestamp,portfolio_return,equity,rolling_volatility,equity_curve,drawdown,volatility_shutdown,drawdown_shutdown,trading_enabled,exposure_multiplier,controlled_return,controlled_equity_curve
2016-01-01,-0.1852836185404523,0.8147163814595477,,0.8147163814595477,0.0,False,False,True,1.0,-0.1852836185404523,0.8147163814595477
2016-01-05,-0.0398213934434569,0.7822732398886175,,0.7822732398886175,-0.03982139344345692,False,False,True,1.0,-0.0398213934434569,0.7822732398886175
2016-01-06,0.0289407826592838,0.8049128397044077,,0.8049128397044077,-0.01203307307701007,False,False,True,1.0,0.0289407826592838,0.8049128397044077
2016-01-07,-0.0206395279462253,0.788299818655053,,0.788299818655053,-0.03242424407518352,False,False,True,1.0,-0.0206395279462253,0.788299818655053
2016-01-08,-0.0434474069729737,0.7540502356172256,,0.7540502356172256,-0.07446290172003167,False,False,True,1.0,-0.0434474069729737,0.7540502356172256
2016-01-11,-0.0270599675393097,0.7336456607184146,,0.7336456607184146,-0.09950790555591449,False,False,True,1.0,-0.0270599675393097,0.7336456607184146
2016-01-12,-0.0430503623413472,0.7020619491943297,,0.7020619491943298,-0.13827441650725103,False,False,True,1.0,-0.0430503623413472,0.7020619491943298
2016-01-13,-0.0456360186250127,0.6700226370049845,,0.6700226370049848,-0.17760014128517587,False,False,True,1.0,-0.0456360186250127,0.6700226370049848
2016-01-14,-0.0624918534351287,0.6281516805750506,,0.6281516805750509,-0.22899343272105321,False,False,True,1.0,-0.0624918534351287,0.6281516805750509
2016-01-15,0.0497224520937563,0.659384922420056,,0.6593849224200563,-0.19065709561555433,False,False,True,1.0,0.0497224520937563,0.6593849224200563
2016-01-19,0.0920803574602249,0.7201013217803774,,0.7201013217803778,-0.11613251167193794,False,False,True,1.0,0.0920803574602249,0.7201013217803778
2016-01-20,0.0686461620643988,0.7695335138181012,,0.7695335138181013,-0.05545840082471676,False,False,True,1.0,0.0686461620643988,0.7695335138181013
2016-01-21,0.0293973686315196,0.7921557741981206,,0.7921557741981207,-0.02769136324595589,False,False,True,1.0,0.0293973686315196,0.7921557741981207
2016-01-22,-0.0837601912572291,0.7258046550457676,,0.7258046550457676,-0.10913212062153033,False,False,True,1.0,-0.0837601912572291,0.7258046550457676
2016-01-25,0.0063377799496186,0.7304046452358566,,0.7304046452358566,-0.10348599603784625,False,False,True,1.0,0.0063377799496186,0.7304046452358566
2016-01-26,-0.0014341390637043,0.7293571434018127,,0.7293571434018128,-0.10477172179208627,False,False,True,1.0,-0.0014341390637043,0.7293571434018128
2016-01-27,0.0030819764954999,0.731605004974602,,0.7316050049746021,-0.10201264928054254,False,False,True,1.0,0.0030819764954999,0.7316050049746021
2016-01-28,0.0558562942086939,0.7724697493770164,,0.7724697493770165,-0.05185440362307092,False,False,True,1.0,0.0558562942086939,0.7724697493770165
2016-01-29,0.0170321161904732,0.7856265439020315,,0.7856265439020316,-0.035705477660093576,False,False,True,1.0,0.0170321161904732,0.7856265439020316
2016-02-01,-0.003678363956278,0.7827367235398469,0.061794907830735366,0.7827367235398471,-0.0392525038743049,False,False,True,1.0,-0.003678363956278,0.7827367235398471
