timestamp,future_return_21d,prediction_confidence,prediction_entropy,meta_probability,take_trade,confidence_edge,volatility_proxy,raw_weight,portfolio_weight,weighted_return
2019-01-02,-0.3322638603696098,0.5110173,1.0256959,0.74817675,1,0.24817674999999995,1.0256969,0.24195914992041015,0.10108528503428309,-0.03358698703205324
2019-01-02,0.3016463265103328,0.37765616,1.0942024,0.73997825,1,0.23997824999999995,1.0942033999999998,0.21931777035238603,0.10108528503428309,0.030492004894841412
2019-01-02,0.3208978782117764,0.3785761,1.0814879,0.6917358,1,0.1917358,1.0814888999999999,0.17728873592692448,0.08187414385555809,0.02627323904365434
2019-01-02,0.0993975670006472,0.3973167,1.0891719,0.66050583,1,0.16050582999999996,1.0891728999999999,0.14736487659580952,0.06805493334125313,0.006764494796511787
2019-01-02,0.2658385480088814,0.41909087,1.0808334,0.6579396,1,0.15793959999999996,1.0808343999999999,0.14612747336687285,0.06748348513590831,0.017939711703108794
2019-01-02,0.046106536753298,0.46144897,1.0573996,0.6534559,1,0.15345589999999998,1.0574006,0.14512560329547758,0.06702080907292478,0.003090097396756574
2019-01-02,0.0899390484350981,0.4157105,1.080682,0.6483883,1,0.14838830000000003,1.0806829999999998,0.13730973837841443,0.06341134541901841,0.005703156066975833
2019-01-02,0.1637225891556091,0.43083712,1.0778686,0.6470501,1,0.14705009999999996,1.0778695999999999,0.13642661412846227,0.06300350765366418,0.010315097398943134
2019-01-02,-0.0285319689883549,0.40149322,1.0718279,0.63594824,1,0.13594824000000005,1.0718288999999999,0.12683763238703497,0.05857519659136668,-0.0016712656926316657
2019-01-02,-0.2424742931571599,0.53485817,0.97046363,0.6257307,1,0.12573069999999997,0.97046463,0.12955722044192375,0.05983113618882425,-0.01450751245617493
2019-01-02,0.1765567703123203,0.36546776,1.0951176,0.61830676,1,0.11830675999999996,1.0951186,0.10803100230422528,0.04989006085057773,0.008808428014463136
2019-01-02,-0.4504201536553697,0.37796873,1.0903938,0.5990339,1,0.09903390000000001,1.0903947999999999,0.09082389241034533,0.041943603432264276,-0.01889224430282037
2019-01-02,-0.0908570068297176,0.3827938,1.0916677,0.58826935,1,0.08826935000000002,1.0916686999999998,0.08085726924294892,0.0373408928613124,-0.003392681757728014
2019-01-02,0.2505165120052044,0.3709723,1.089707,0.57835525,1,0.07835524999999999,1.089708,0.07190481303248208,0.03320653720806623,0.008318785877135791
2019-01-02,0.1978494747151717,0.37980658,1.0907289,0.5724149,1,0.07241489999999995,1.0907299,0.0663912303128391,0.03066029611504137,0.006066123480972554
2019-01-02,0.207567029235854,0.37930912,1.0921378,0.5689065,1,0.06890649999999998,1.0921387999999999,0.06309317094127595,0.02913721126692765,0.006047924382893625
2019-01-02,0.0032817484798217,0.40821967,1.0853634,0.5545148,1,0.054514799999999974,1.0853644,0.05022718637169229,0.023195539530220844,7.61219265919464e-05
2019-01-02,0.2868317845347599,0.41294777,1.0817267,0.5543443,1,0.05434430000000001,1.0817276999999998,0.050238428765390794,0.023200731407494606,0.0066547071921233296
2019-01-03,-0.405282112845138,0.5086964,1.029785,0.7584967,1,0.2584967,1.0297859999999999,0.2510198235361522,0.10434196509780401,-0.042287932073251655
2019-01-03,0.2667494119998641,0.3950089,1.0902157,0.65321857,1,0.15321857000000005,1.0902166999999998,0.14053955511780372,0.08272793556426018,0.022067628167729048
2019-01-03,0.0944724172941509,0.40649295,1.086937,0.65231746,1,0.15231746000000002,1.086938,0.1401344510910466,0.08248947302042835,0.00779297991756051
2019-01-03,0.4152492809686869,0.39209622,1.0880841,0.63033104,1,0.13033103999999995,1.0880851,0.119780189986978,0.07050803477221378,0.029278410741676943
2019-01-03,0.1547618757994928,0.4259449,1.0798758,0.6278609,1,0.12786090000000006,1.0798767999999999,0.11840322896093339,0.06969749326351445,0.010786514795984008
2019-01-03,0.054564582616368,0.45621035,1.0625837,0.6278522,1,0.12785219999999997,1.0625847,0.12032189057493485,0.07082690422713736,0.0038646404671632203
2019-01-03,0.1887210098641494,0.36243954,1.0954136,0.62621313,1,0.12621313,1.0954146,0.11521950684243208,0.06782341049690037,0.01279970252140579
2019-01-03,0.1086128203631566,0.38038823,1.0874672,0.6229856,1,0.12298560000000003,1.0874682,0.11309351390688945,0.06657195494451713,0.007230567783612994
2019-01-03,-0.0044722717920546,0.37154785,1.0855044,0.6209656,1,0.1209656,1.0855054,0.11143712412669712,0.06559692903889087,-0.0002933672953860389
2019-01-03,0.3663531796006956,0.35731456,1.0969422,0.6172898,1,0.1172898,1.0969432,0.10692422360610833,0.06294043177616479,0.023058427306638627
2019-01-03,0.2222221928490244,0.37444746,1.0932696,0.597454,1,0.09745400000000004,1.0932705999999999,0.08913987076941432,0.05247175771288887,0.011660389061600872
2019-01-03,-0.2130427006648036,0.5046239,1.0153544,0.5958365,1,0.09583649999999999,1.0153554,0.09438714759383758,0.055560542067264074,-0.01183676793241037
2019-01-03,-0.061478144981334,0.41195393,1.0815978,0.5911711,1,0.09117109999999995,1.0815987999999999,0.0842929004728925,0.049618611877636803,-0.0030504602147858966
2019-01-03,0.1861702203210959,0.37330207,1.0906769,0.5684123,1,0.06841229999999998,1.0906779,0.06272456790405305,0.03692251628029527,0.00687387299071182
2019-01-03,0.2708877089555248,0.41599825,1.0810393,0.55841446,1,0.058414459999999946,1.0810403,0.054035413850898946,0.03180768739091451,0.008616311564498364
2019-01-03,0.2099125223925788,0.37563086,1.087552,0.5556009,1,0.05560089999999995,1.087553,0.05112477276969486,0.03009435246812567,0.006317181436355589
2019-01-04,0.2268420771548622,0.38032755,1.0931065,0.6967652,1,0.19676519999999997,1.0931075,0.18000535171517898,0.10605693059519757,0.02405817443288367
2019-01-04,0.0257586287334465,0.4096843,1.085595,0.674078,1,0.17407799999999995,1.085596,0.16035246997962405,0.10605693059519757,0.002731881099810597
2019-01-04,0.0028064254277953,0.38811812,1.0920008,0.6590211,1,0.15902110000000003,1.0920018,0.14562347791001812,0.10605693059519757,0.0002976408668162838
2019-01-04,-0.0575609904963795,0.43623653,1.0733174,0.6579396,1,0.15793959999999996,1.0733184,0.14715074296685862,0.10605693059519757,-0.006104741974065347
2019-01-04,0.3002375079389798,0.3807554,1.0855004,0.6559313,1,0.1559313,1.0855013999999998,0.1436491007749967,0.10605693059519757,0.03184226854155946
2019-01-04,0.0409134454251833,0.39995247,1.0701181,0.6401398,1,0.14013980000000004,1.0701190999999999,0.13095719906316974,0.09961181496149864,0.0040754625551307315
2019-01-04,0.3158073299642017,0.36603975,1.0889877,0.6219819,1,0.12198189999999998,1.0889886999999998,0.1120139263153052,0.0852027271585802,0.026907645769619584
2019-01-04,0.1547710210653456,0.36258578,1.0960541,0.61077225,1,0.11077225000000002,1.0960550999999998,0.10106449027973141,0.07687410372962135,0.011897883527716788
2019-01-04,-0.4229508137773422,0.36973107,1.0918097,0.59149224,1,0.09149224,1.0918107,0.08379862919460307,0.06374092913619464,-0.026959277849077427
2019-01-04,-0.2471414066693634,0.50356776,1.0149015,0.5831433,1,0.08314330000000003,1.0149024999999998,0.08192245067875983,0.06231382510150339,-0.015400326390534236
2019-01-04,-0.3335599673646995,0.4654705,1.050658,0.56331706,1,0.06331706000000004,1.050659,0.06026413898324769,0.04583955906324503,-0.015290241825148227
2019-01-04,0.1410563337366914,0.35618365,1.0972729,0.5521231,1,0.05212309999999998,1.0972739,0.047502360167320096,0.03613238787230841,0.005096702162419916
2019-01-07,0.0564102675998805,0.40055507,1.0860169,0.659415,1,0.15941499999999997,1.0860178999999999,0.14678855661587162,0.1026824880702528,0.005792346629864498
2019-01-07,-0.2786279933545762,0.43161374,1.0545683,0.6511761,1,0.15117610000000004,1.0545692999999998,0.1433534050346431,0.1026824880702528,-0.02861021560366975
2019-01-07,-0.017480923307228,0.43074304,1.0763396,0.6355627,1,0.13556270000000004,1.0763406,0.12594777155112427,0.10079133290416042,-0.0017619255605309143
2019-01-07,-0.1132255478727255,0.42665955,1.0788174,0.6354662,1,0.13546619999999998,1.0788183999999998,0.12556904850714448,0.10048825489067807,-0.011377837714771112
2019-01-07,0.1219816218380365,0.35406864,1.0967554,0.6326044,1,0.13260439999999996,1.0967563999999999,0.12090597328631952,0.09675656864366472,0.01180252316663753
2019-01-07,0.1307729982482435,0.378161,1.0939106,0.6194265,1,0.11942649999999999,1.0939116,0.1091738125822964,0.08736775532334085,0.01142534331385222
2019-01-07,-0.2973597733198145,0.50212705,1.0151136,0.6138512,1,0.11385120000000004,1.0151146,0.11215600681932862,0.08975429482640442,-0.026689316764059418
2019-01-07,0.1979404994727753,0.36932123,1.095597,0.6042151,1,0.1042151,1.0955979999999998,0.09512165958681927,0.07612233817030756,0.015067693638466186
2019-01-07,0.0241187235669442,0.3866594,1.079247,0.5859556,1,0.08595560000000002,1.079248,0.07964397432286187,0.06373612038484947,0.0015372338687916615
2019-01-07,0.1113809548391195,0.35454336,1.0974344,0.5676377,1,0.06763770000000002,1.0974354,0.061632511581091724,0.04932221440668982,0.005493555335396888
2019-01-07,0.0045742139485438,0.3845727,1.0927782,0.5642365,1,0.06423650000000003,1.0927791999999998,0.058782689128782865,0.04704160713614498,0.00021517837552407194
2019-01-07,0.1840732328794327,0.386407,1.0830929,0.5600732,1,0.06007320000000005,1.0830939,0.05546444311061123,0.04438613784949958,0.008170299888989539
2019-01-07,-0.0889487655829995,0.3774253,1.0940881,0.5531394,1,0.05313939999999995,1.0940891,0.048569536064293074,0.03886839932272776,-0.003457296139943728
2019-01-08,-0.1993165804539989,0.4384623,1.0554061,0.6533328,1,0.15333280000000005,1.0554070999999998,0.14528308555058997,0.115722318891934,-0.02306537688374748
2019-01-08,0.1752336316067608,0.3878726,1.0920746,0.6532141,1,0.15321410000000002,1.0920755999999998,0.1402962395643672,0.115722318891934,0.02027844219738926
2019-01-08,0.1125117014326522,0.39685863,1.0737059,0.6419614,1,0.14196140000000002,1.0737069,0.13221615694189917,0.115722318891934,0.013020114992263446
2019-01-08,-0.0339822684769082,0.40507996,1.0873019,0.6408215,1,0.14082150000000004,1.0873028999999999,0.12951450787080587,0.115722318891934,-0.0039325069093560875
2019-01-08,0.0363805391729277,0.42242685,1.0804871,0.62103397,1,0.12103397000000005,1.0804881,0.11201786488902567,0.115722318891934,0.004210040355630037
2019-01-08,0.0925301241587444,0.3812961,1.0934384,0.600399,1,0.10039900000000002,1.0934393999999998,0.09181944605252018,0.10247396906175818,0.009481929080323817
2019-01-08,-0.1445678357089034,0.38450158,1.0920634,0.58703756,1,0.08703755999999996,1.0920644,0.07970002501683963,0.08894823753483982,-0.01285905419053324
2019-01-08,-0.1661891767349744,0.40734,1.0863626,0.58205724,1,0.08205724000000003,1.0863635999999999,0.07553386361619631,0.08429864408998701,-0.014009522261189558
2019-01-08,-0.2976957305223915,0.5032854,1.0197024,0.57189155,1,0.07189155000000003,1.0197033999999998,0.07050241276041645,0.07868335493831836,-0.02342369882831531
2019-01-08,0.0686009599493349,0.39072424,1.0907892,0.56546885,1,0.06546885000000002,1.0907901999999998,0.06001965364191944,0.06698419991426947,0.004595180415557043
2019-01-10,-0.0601077386334414,0.441838,1.066325,0.65751576,1,0.15751576,1.0663259999999999,0.14771820250092374,0.117333168587761,-0.007052631430506654
2019-01-10,-0.1931306453249822,0.43161374,1.0545683,0.6511761,1,0.15117610000000004,1.0545692999999998,0.1433534050346431,0.117333168587761,-0.02266063056737921
2019-01-10,-0.1519699726780355,0.42959607,1.0775639,0.63638926,1,0.13638925999999996,1.0775648999999998,0.12657173595762072,0.117333168587761,-0.017831118424509372
2019-01-10,-0.1676512352928615,0.5097109,0.986547,0.60845375,1,0.10845375000000002,0.986548,0.10993256283525993,0.117333168587761,-0.019671050654563704
2019-01-10,0.034007323938052,0.39369252,1.0796645,0.60254455,1,0.10254454999999996,1.0796655,0.09497807422761954,0.1156971396476889,0.003934550106704997
2019-01-10,-0.1236923452524038,0.35647607,1.0956848,0.5910039,1,0.09100390000000003,1.0956857999999998,0.08305656603380279,0.10117500483365212,-0.012514573628797722
