timestamp,weighted_return
2019-01-02,0.06449920093356404
2019-01-03,0.09287809923910383
2019-01-04,0.04315307091713179
2019-01-07,-0.012392417565452327
2019-01-08,-0.025704452031978076
2019-01-10,-0.08600215920370449
2019-05-22,-0.10973139546264495
2019-05-23,-0.024063065519395348
2019-05-28,-0.013734452608522055
2019-05-29,-0.00420766399626822
2019-05-30,0.029470917962821107
2019-05-31,0.06507147858751229
2019-06-03,-0.0029771335958626377
2019-06-12,-0.02308227173100501
2019-08-06,-0.017641821082023
2019-08-07,-0.028216486038492136
2019-08-08,-0.013145318175987897
2019-08-09,0.034904553818404724
2019-08-13,0.05570629538332074
2019-08-14,0.11680705454681745
2019-08-16,0.0964373226166289
2019-08-19,0.031233019339071383
2019-08-22,0.10456577556796057
2019-08-23,0.11989063837719025
2019-08-26,0.12658635089527911
2019-08-28,0.06840440208624168
2019-08-30,-0.03729561790700185
2019-09-03,-0.05737531229281174
2019-09-04,-0.06522457826562045
2019-10-04,0.02973114771160466
2019-10-07,0.045854117641714216
2019-10-09,0.07758808336864303
2019-10-10,0.10862619882569655
2019-10-11,-0.006338165109470082
2019-10-14,-0.006779980264661473
2019-10-16,0.008546678029648053
2019-10-17,0.019073217087215693
2019-10-24,-0.021711443577014797
2019-10-25,-0.02887409425899532
2019-10-29,-0.05154542661181258
2019-10-30,-0.07847368781766524
2019-10-31,-0.04650638686478849
2019-11-01,-0.05445499191029796
2019-11-06,-0.06699525953859381
2019-11-21,0.1715809830608301
2019-11-22,0.09806640178227366
2019-11-25,0.12145443888303105
2019-12-09,-0.0019844879445815537
2019-12-10,-0.01473470270478764
2019-12-11,-0.00431739700140275
2019-12-12,-0.03330140598056827
2019-12-16,-0.003636834010879865
2019-12-18,-0.0042940065140186275
2020-01-08,-0.025440121311376504
2020-01-09,-0.0850762366243428
2020-01-14,-0.06894157464797347
2020-01-27,0.01526549740172366
2020-01-30,0.1813746229697326
2020-02-03,0.1120329481353149
2020-02-04,0.07068132770932722
2020-02-05,0.07942372187341773
2020-02-06,0.03892937515632125
2020-02-07,0.08569819525778563
2020-02-10,0.02415167703639136
2020-02-12,0.0808574933677705
2020-02-20,-0.07374630518921556
2020-02-25,-0.1645638867482945
2020-02-26,-0.14022804282832088
2020-02-27,-0.12944742582324809
2020-02-28,-0.16662195938127145
2020-03-02,-0.2125266323899437
2020-03-03,-0.16985113704441404
2020-03-04,-0.17340113704360063
2020-03-05,-0.18251317316527868
2020-03-06,-0.13503368617806186
2020-03-09,-0.1146412044794033
2020-03-10,-0.04472041596773635
2020-03-11,-0.008243582382117703
2020-03-12,0.12654333255384695
2020-03-13,0.01847391080694393
2020-03-16,0.11066818868002438
2020-03-17,0.037031937643904195
2020-03-18,0.10491767566685187
2020-03-19,0.07019968620066663
2020-03-20,0.0985234863988616
2020-03-23,0.1949595361562336
2020-03-24,0.15998599574850647
2020-03-25,0.059414029107089185
2020-03-26,0.03505569317684469
2020-03-27,0.08520106467147874
2020-03-30,0.07895678319240657
2020-03-31,0.08528832171226786
2020-04-01,0.1235603309483187
2020-04-02,0.12684613110362875
2020-04-03,0.09556444083637809
2020-04-06,0.11023370209132967
2020-04-07,0.07222626109463041
2020-04-08,0.12406070484185197
2020-04-09,0.06106822920436782
2020-04-13,0.06042121183050757
2020-04-14,-0.05275452157998317
2020-04-15,0.05205141094890606
2020-04-16,0.014771983838621036
2020-04-17,0.00366593258483542
2020-04-20,0.032103309185874875
2020-04-21,0.01288573632190411
2020-04-22,0.03481507573083009
2020-04-23,0.047616642964015306
2020-04-24,0.08942328190315517
2020-04-27,0.09957658537016784
2020-04-28,0.039306753216244744
2020-04-29,0.03750213407881363
2020-04-30,0.04055916856552085
2020-05-01,0.14631365282814146
2020-05-04,0.14006352009274392
2020-05-05,0.1568027535748439
2020-05-06,0.21861855520945808
2020-05-07,0.331699455627484
2020-05-08,0.2541751584478523
2020-05-11,0.24013418741415501
2020-05-12,0.16259325820850679
2020-05-13,0.2800825799123367
2020-05-14,0.3073077869625453
2020-05-15,0.2196983686424993
2020-05-18,0.1083707327237899
2020-05-19,0.2003114623717474
2020-05-20,0.16498989321489937
2020-05-21,0.19401473766255362
2020-05-22,0.24739282366987367
2020-05-26,0.14747436960986154
2020-05-27,0.10946304675123751
2020-05-28,0.10978532466757808
2020-05-29,0.17325823204699153
2020-06-01,0.15438097709390247
2020-06-02,0.15308912006618458
2020-06-03,0.05385085070999146
2020-06-04,0.06250852037640042
2020-06-05,0.031899821187474205
2020-06-08,-0.06262146934074647
2020-06-09,-0.06859245733953795
2020-06-10,0.01358490821789364
2020-06-11,-0.018682188833389984
2020-06-12,0.011736163087164093
2020-06-15,0.025930255967006027
2020-06-16,-0.05445924744549067
2020-06-17,-0.07077202024412288
2020-06-18,-0.04882106160297194
2020-06-19,0.03430242928904835
2020-06-22,0.0420656932392711
2020-06-23,0.061765930195633485
2020-06-24,0.1370447217746033
2020-06-25,0.03681905091430036
2020-06-26,0.11233911445893077
2020-06-29,0.09446636623780856
2020-06-30,0.1055899333999692
2020-07-01,0.0622677107388343
2020-07-02,0.03975026522554071
2020-07-06,0.03538336270625423
2020-07-07,0.12403308228095525
2020-07-08,0.10811962315548651
2020-07-09,0.19445395525888698
2020-07-10,0.12295815250633495
2020-07-13,0.202018582128853
2020-07-14,0.13658799875191185
2020-07-15,0.05390235037287145
2020-07-16,0.12892280717610455
2020-07-17,0.14102701900705633
2020-07-20,0.03613156254916623
2020-07-21,0.07611990388420485
2020-07-22,0.061278114989216044
2020-07-23,0.020365248264061702
2020-07-24,0.01788554315426854
2020-07-27,0.06087723891952772
2020-07-28,0.004930525935500463
