feature,xgboost_importance,random_forest_importance,extra_trees_importance,mean_importance
volatility_21d,0.44503224,0.4185987162170743,0.27330922976408567,0.3789800616471421
daily_range,0.33880162,0.2945292834317846,0.09554451186465145,0.24295847256239433
momentum_252d,0.10573256,0.16691606617471763,0.1990802381753386,0.15724295483594405
dist_sma_200,0.057366535,0.08032788267759244,0.2545329381273897,0.13074245195751347
momentum_63d,0.053066988,0.03962805149883095,0.1775330820685346,0.09007604037055457
