feature,mean_ic,abs_mean_ic,std_ic,information_ratio,positive_ic_rate,observations,stability_score,directional_consistency,robustness_score
low,-0.0177491942555982,0.0177491942555982,0.1597595545518007,-0.1110994225377817,0.4651049292337725,2049,0.11109941558361706,0.069790141532455,0.09870663336826845
close,-0.0176327840754799,0.0176327840754799,0.159854836236652,-0.1103049772568407,0.465592972181552,2049,0.11030497035651961,0.06881405563689602,0.09785769594063252
vol_adjusted_momentum,0.0149783426303814,0.0149783426303814,0.1703275968825983,0.0879384368976074,0.5592972181551976,2049,0.08793843173470711,0.11859443631039523,0.09713523310741354
open,-0.0175178525900855,0.0175178525900855,0.1599002459105517,-0.1095548821099687,0.4665690580771108,2049,0.1095548752585174,0.0668618838457784,0.09674697783469569
high,-0.0173414187557872,0.0173414187557872,0.1600650831088642,-0.1083397979057861,0.4665690580771108,2049,0.10833979113730235,0.0668618838457784,0.09589641894984516
return_5d,-0.0128196063118887,0.0128196063118887,0.1521018021743784,-0.0842830665292945,0.4719375305026842,2049,0.08428306098806734,0.05612493899463156,0.0758356243900366
return_1d,-0.0099483276182187,0.0099483276182187,0.1427531957210238,-0.069689001132138,0.4782820888238165,2049,0.06968899625035582,0.04343582235236698,0.06181304408095917
log_return_1d,-0.0099483276182187,0.0099483276182187,0.1427531957210238,-0.069689001132138,0.4782820888238165,2049,0.06968899625035582,0.04343582235236698,0.06181304408095917
relative_volume_20_rank,-0.0051535297314083,0.0051535297314083,0.0840739263679327,-0.0612975978884936,0.4694973157637872,2049,0.06129759059757725,0.06100536847242555,0.061209923960031734
relative_volume_20_zscore,-0.0051535297314083,0.0051535297314083,0.0840739263679327,-0.0612975978884936,0.4694973157637872,2049,0.06129759059757725,0.06100536847242555,0.061209923960031734
relative_volume_20,-0.0051535297314083,0.0051535297314083,0.0840739263679327,-0.0612975978884936,0.4694973157637872,2049,0.06129759059757725,0.06100536847242555,0.061209923960031734
sma_200,-0.010296634772236,0.010296634772236,0.1561777836300925,-0.0659289338912864,0.4841386041971693,2049,0.06592892966988384,0.03172279160566138,0.0556670882506171
dist_sma_20_rank,-0.0088436163967971,0.0088436163967971,0.1535084904533597,-0.0576099495909254,0.4816983894582723,2049,0.05760994583804201,0.03660322108345537,0.051307928411666016
dist_sma_20,-0.0088436163967971,0.0088436163967971,0.1535084904533597,-0.0576099495909254,0.4816983894582723,2049,0.05760994583804201,0.03660322108345537,0.051307928411666016
dist_sma_20_zscore,-0.0088436163967971,0.0088436163967971,0.1535084904533597,-0.0576099495909254,0.4816983894582723,2049,0.05760994583804201,0.03660322108345537,0.051307928411666016
adj_close,-0.0092811669016608,0.0092811669016608,0.1584548677721416,-0.0585729364591508,0.4856027330405075,2049,0.05857293276264512,0.02879453391898501,0.04963941310954709
sma_20,-0.0088011114987364,0.0088011114987364,0.1579478736084362,-0.0557216206693293,0.4865788189360663,2049,0.05572161714148046,0.026842362127867392,0.047057840637396535
sma_50,-0.0087204399640424,0.0087204399640424,0.1576894350645979,-0.0553013583977272,0.4904831625183016,2049,0.05530135489074775,0.019033674963396807,0.04442105091254246
momentum_21d,-0.0054396515472232,0.0054396515472232,0.1533568549351444,-0.0354705471074228,0.5065885797950219,2049,0.035470544794480925,0.013177159590043841,0.0287825292331498
return_21d_zscore,-0.0054396515472232,0.0054396515472232,0.1533568549351444,-0.0354705471074228,0.5065885797950219,2049,0.035470544794480925,0.013177159590043841,0.0287825292331498
return_21d_rank,-0.0054396515472232,0.0054396515472232,0.1533568549351444,-0.0354705471074228,0.5065885797950219,2049,0.035470544794480925,0.013177159590043841,0.0287825292331498
momentum_21d_rank,-0.0054396515472232,0.0054396515472232,0.1533568549351444,-0.0354705471074228,0.5065885797950219,2049,0.035470544794480925,0.013177159590043841,0.0287825292331498
return_21d,-0.0054396515472232,0.0054396515472232,0.1533568549351444,-0.0354705471074228,0.5065885797950219,2049,0.035470544794480925,0.013177159590043841,0.0287825292331498
momentum_21d_zscore,-0.0054396515472232,0.0054396515472232,0.1533568549351444,-0.0354705471074228,0.5065885797950219,2049,0.035470544794480925,0.013177159590043841,0.0287825292331498
sma_spread_20_50,0.0053290076813978,0.0053290076813978,0.1653567847330808,0.032227330072969,0.5100048804294778,2049,0.03222732812401143,0.02000976085895556,0.02856205794449467
volume_zscore_20,0.0021531562038419,0.0021531562038419,0.0870355557318143,0.0247388114631738,0.5119570522205954,2049,0.02473880862079411,0.023914104441190798,0.024491397366913116
dist_sma_50,-0.0012603255816011,0.0012603255816011,0.1626703981733394,-0.0077477254359341,0.5226939970717424,2049,0.0077477249596504,0.04538799414348471,0.019039805714800694
dist_sma_50_zscore,-0.0012603255816011,0.0012603255816011,0.1626703981733394,-0.0077477254359341,0.5226939970717424,2049,0.0077477249596504,0.04538799414348471,0.019039805714800694
dist_sma_50_rank,-0.0012603255816011,0.0012603255816011,0.1626703981733394,-0.0077477254359341,0.5226939970717424,2049,0.0077477249596504,0.04538799414348471,0.019039805714800694
volume,0.0005459298143151,0.0005459298143151,0.1225077414234695,0.0044562882963296,0.5178135675939483,2049,0.004456287932573327,0.03562713518789651,0.01380754210917028
avg_volume_20,0.0013079965805255,0.0013079965805255,0.1213905816380267,0.0107751076144098,0.5085407515861395,2049,0.010775106726770069,0.017081503172279078,0.01266702566042277
open_close_gap,-0.0004389976765527,0.0004389976765527,0.1550774571084385,-0.002830828443658,0.5134211810639336,2049,0.0028308282611150025,0.02684236212786728,0.010034288421140687
