model,accuracy,log_loss
xgboost,0.5933969243777414,0.9222405767648856
random_forest,0.5972414522010252,0.9201363702432779
extra_trees,0.6004333350948581,0.9320411575716068
ensemble,0.5963245785551974,0.9297382964745747
