model,accuracy,log_loss,sharpe_proxy,ensemble_weight
xgboost,0.5933969243777414,0.9222405767648856,0.6434296422516019,0.2813801294188594
random_forest,0.5972414522010252,0.9201363702432781,0.6490792794584551,0.28297432413784984
extra_trees,0.6004333350948581,0.9320411575716068,0.6442133270801703,0.2816007291864008
ridge,0.5962188870686467,14.55374647956967,0.04096669458311712,0.15404481725689
