feature,mean_ic,abs_mean_ic,std_ic,information_ratio,positive_ic_rate,observations,stability_score,directional_consistency,robustness_score
momentum_252d,0.0419075646057507,0.0419075646057507,0.1808679830928651,0.2317025041642313,0.621278672523182,2049,0.23170249135364504,0.24255734504636406,0.23495894746146073
momentum_252d_zscore,0.0419075646057507,0.0419075646057507,0.1808679830928651,0.2317025041642313,0.621278672523182,2049,0.23170249135364504,0.24255734504636406,0.23495894746146073
momentum_252d_rank,0.0419075646057507,0.0419075646057507,0.1808679830928651,0.2317025041642313,0.621278672523182,2049,0.23170249135364504,0.24255734504636406,0.23495894746146073
momentum_spread_63_252,-0.0397869502442533,0.0397869502442533,0.1745788555064776,-0.2279024577680148,0.3879941434846266,2049,0.22790244471360163,0.22401171303074685,0.22673522520874517
daily_range_zscore,0.0350266758862985,0.0350266758862985,0.1661431995870595,0.210822206225446,0.5929721815519766,2049,0.21082219353626022,0.18594436310395324,0.20335884440656812
daily_range,0.0350266758862985,0.0350266758862985,0.1661431995870595,0.210822206225446,0.5929721815519766,2049,0.21082219353626022,0.18594436310395324,0.20335884440656812
daily_range_rank,0.0350266758862985,0.0350266758862985,0.1661431995870595,0.210822206225446,0.5929721815519766,2049,0.21082219353626022,0.18594436310395324,0.20335884440656812
volatility_63d_zscore,0.035803206485254,0.035803206485254,0.1937111861093187,0.1848277696521298,0.5714982918496828,2049,0.18482776011072108,0.14299658369936563,0.17227840718731444
volatility_63d,0.035803206485254,0.035803206485254,0.1937111861093187,0.1848277696521298,0.5714982918496828,2049,0.18482776011072108,0.14299658369936563,0.17227840718731444
volatility_63d_rank,0.035803206485254,0.035803206485254,0.1937111861093187,0.1848277696521298,0.5714982918496828,2049,0.18482776011072108,0.14299658369936563,0.17227840718731444
momentum_spread_21_63,-0.0260604040552895,0.0260604040552895,0.1623057879746476,-0.1605636150163681,0.4153245485602733,2049,0.16056360512370713,0.16935090287945342,0.163199794450431
volatility_21d,0.032906404352158,0.032906404352158,0.1895174606177816,0.1736325731934724,0.568081991215227,2049,0.17363256403164834,0.1361639824304539,0.16239198955129
volatility_21d_zscore,0.032906404352158,0.032906404352158,0.1895174606177816,0.1736325731934724,0.568081991215227,2049,0.17363256403164834,0.1361639824304539,0.16239198955129
volatility_21d_rank,0.032906404352158,0.032906404352158,0.1895174606177816,0.1736325731934724,0.568081991215227,2049,0.17363256403164834,0.1361639824304539,0.16239198955129
momentum_126d,0.0275481876811638,0.0275481876811638,0.1792987017274247,0.153644100128753,0.5885797950219619,2049,0.15364409155958345,0.1771595900439238,0.16069874110488552
momentum_126d_rank,0.0275481876811638,0.0275481876811638,0.1792987017274247,0.153644100128753,0.5885797950219619,2049,0.15364409155958345,0.1771595900439238,0.16069874110488552
momentum_126d_zscore,0.0275481876811638,0.0275481876811638,0.1792987017274247,0.153644100128753,0.5885797950219619,2049,0.15364409155958345,0.1771595900439238,0.16069874110488552
sma_spread_50_200,0.0293064551617785,0.0293064551617785,0.1768252395627948,0.1657368327860859,0.56564177647633,2049,0.16573682341316923,0.13128355295265992,0.15540084227501644
dist_sma_200_zscore,0.0250916066848998,0.0250916066848998,0.1830158264274566,0.1371007479227248,0.5890678379697414,2049,0.13710074043152848,0.17813567593948276,0.14941122108391475
dist_sma_200_rank,0.0250916066848998,0.0250916066848998,0.1830158264274566,0.1371007479227248,0.5890678379697414,2049,0.13710074043152848,0.17813567593948276,0.14941122108391475
dist_sma_200,0.0250916066848998,0.0250916066848998,0.1830158264274566,0.1371007479227248,0.5890678379697414,2049,0.13710074043152848,0.17813567593948276,0.14941122108391475
momentum_63d,0.0199069021494964,0.0199069021494964,0.1705096980204583,0.1167493836456619,0.5661298194241093,2049,0.11674937679858033,0.13225963884821867,0.12140245541347182
return_63d,0.0199069021494964,0.0199069021494964,0.1705096980204583,0.1167493836456619,0.5661298194241093,2049,0.11674937679858033,0.13225963884821867,0.12140245541347182
return_63d_rank,0.0199069021494964,0.0199069021494964,0.1705096980204583,0.1167493836456619,0.5661298194241093,2049,0.11674937679858033,0.13225963884821867,0.12140245541347182
momentum_63d_rank,0.0199069021494964,0.0199069021494964,0.1705096980204583,0.1167493836456619,0.5661298194241093,2049,0.11674937679858033,0.13225963884821867,0.12140245541347182
momentum_63d_zscore,0.0199069021494964,0.0199069021494964,0.1705096980204583,0.1167493836456619,0.5661298194241093,2049,0.11674937679858033,0.13225963884821867,0.12140245541347182
return_63d_zscore,0.0199069021494964,0.0199069021494964,0.1705096980204583,0.1167493836456619,0.5661298194241093,2049,0.11674937679858033,0.13225963884821867,0.12140245541347182
