feature,mean_ic,abs_mean_ic,std_ic,information_ratio,positive_ic_rate,observations
momentum_252d,0.04190756460575071,0.04190756460575071,0.18086798309286514,0.23170250416423133,0.621278672523182,2049
momentum_252d_zscore,0.04190756460575071,0.04190756460575071,0.18086798309286514,0.23170250416423133,0.621278672523182,2049
momentum_252d_rank,0.04190756460575071,0.04190756460575071,0.18086798309286514,0.23170250416423133,0.621278672523182,2049
momentum_spread_63_252,-0.03978695024425339,0.03978695024425339,0.17457885550647767,-0.22790245776801482,0.38799414348462663,2049
volatility_63d_rank,0.035803206485254015,0.035803206485254015,0.19371118610931873,0.18482776965212983,0.5714982918496828,2049
volatility_63d,0.035803206485254015,0.035803206485254015,0.19371118610931873,0.18482776965212983,0.5714982918496828,2049
volatility_63d_zscore,0.035803206485254015,0.035803206485254015,0.19371118610931873,0.18482776965212983,0.5714982918496828,2049
daily_range_rank,0.0350266758862985,0.0350266758862985,0.1661431995870595,0.21082220622544603,0.5929721815519766,2049
daily_range,0.0350266758862985,0.0350266758862985,0.1661431995870595,0.21082220622544603,0.5929721815519766,2049
daily_range_zscore,0.0350266758862985,0.0350266758862985,0.1661431995870595,0.21082220622544603,0.5929721815519766,2049
volatility_21d,0.032906404352158,0.032906404352158,0.1895174606177816,0.17363257319347244,0.568081991215227,2049
volatility_21d_zscore,0.032906404352158,0.032906404352158,0.1895174606177816,0.17363257319347244,0.568081991215227,2049
volatility_21d_rank,0.032906404352158,0.032906404352158,0.1895174606177816,0.17363257319347244,0.568081991215227,2049
sma_spread_50_200,0.029306455161778516,0.029306455161778516,0.1768252395627948,0.16573683278608597,0.56564177647633,2049
momentum_126d,0.027548187681163874,0.027548187681163874,0.17929870172742474,0.15364410012875304,0.5885797950219619,2049
momentum_126d_zscore,0.027548187681163874,0.027548187681163874,0.17929870172742474,0.15364410012875304,0.5885797950219619,2049
momentum_126d_rank,0.027548187681163874,0.027548187681163874,0.17929870172742474,0.15364410012875304,0.5885797950219619,2049
momentum_spread_21_63,-0.026060404055289595,0.026060404055289595,0.16230578797464765,-0.16056361501636812,0.4153245485602733,2049
dist_sma_200_zscore,0.025091606684899893,0.025091606684899893,0.18301582642745662,0.13710074792272484,0.5890678379697414,2049
dist_sma_200_rank,0.025091606684899893,0.025091606684899893,0.18301582642745662,0.13710074792272484,0.5890678379697414,2049
dist_sma_200,0.025091606684899893,0.025091606684899893,0.18301582642745662,0.13710074792272484,0.5890678379697414,2049
momentum_63d,0.01990690214949645,0.01990690214949645,0.1705096980204583,0.11674938364566195,0.5661298194241093,2049
return_63d,0.01990690214949645,0.01990690214949645,0.1705096980204583,0.11674938364566195,0.5661298194241093,2049
return_63d_rank,0.01990690214949645,0.01990690214949645,0.1705096980204583,0.11674938364566195,0.5661298194241093,2049
momentum_63d_rank,0.01990690214949645,0.01990690214949645,0.1705096980204583,0.11674938364566195,0.5661298194241093,2049
momentum_63d_zscore,0.01990690214949645,0.01990690214949645,0.1705096980204583,0.11674938364566195,0.5661298194241093,2049
return_63d_zscore,0.01990690214949645,0.01990690214949645,0.1705096980204583,0.11674938364566195,0.5661298194241093,2049
low,-0.017749194255598295,0.017749194255598295,0.15975955455180071,-0.11109942253778171,0.46510492923377256,2049
close,-0.01763278407547991,0.01763278407547991,0.15985483623665203,-0.11030497725684077,0.465592972181552,2049
open,-0.01751785259008551,0.01751785259008551,0.15990024591055177,-0.10955488210996873,0.4665690580771108,2049
high,-0.01734141875578721,0.01734141875578721,0.16006508310886428,-0.1083397979057861,0.4665690580771108,2049
vol_adjusted_momentum,0.014978342630381489,0.014978342630381489,0.17032759688259835,0.08793843689760741,0.5592972181551976,2049
return_5d,-0.012819606311888738,0.012819606311888738,0.1521018021743784,-0.08428306652929457,0.4719375305026842,2049
sma_200,-0.010296634772236007,0.010296634772236007,0.15617778363009252,-0.06592893389128644,0.48413860419716936,2049
