timestamp,portfolio_return,equity
2016-01-01,-0.18528361854045233,0.8147163814595477
2016-01-05,-0.03982139344345691,0.7822732398886175
2016-01-06,0.02894078265928388,0.8049128397044077
2016-01-07,-0.0206395279462253,0.788299818655053
2016-01-08,-0.04344740697297371,0.7540502356172256
2016-01-11,-0.027059967539309754,0.7336456607184146
2016-01-12,-0.04305036234134728,0.7020619491943297
2016-01-13,-0.04563601862501275,0.6700226370049845
2016-01-14,-0.06249185343512874,0.6281516805750506
2016-01-15,0.04972245209375632,0.659384922420056
2016-01-19,0.09208035746022492,0.7201013217803774
2016-01-20,0.06864616206439889,0.7695335138181012
2016-01-21,0.029397368631519635,0.7921557741981206
2016-01-22,-0.08376019125722914,0.7258046550457676
2016-01-25,0.006337779949618671,0.7304046452358566
2016-01-26,-0.0014341390637043878,0.7293571434018127
2016-01-27,0.003081976495499944,0.731605004974602
2016-01-28,0.05585629420869395,0.7724697493770164
2016-01-29,0.017032116190473266,0.7856265439020315
2016-02-01,-0.003678363956278066,0.7827367235398469
2016-02-02,0.16440498707255702,0.9114225444546311
2016-02-03,0.12027529780019285,1.0210441624107214
2016-02-04,0.10369982211722956,1.1269262604265489
2016-02-05,0.09410550343460442,1.2329762234976653
2016-02-08,0.29530782077140555,1.5970837451217184
2016-02-09,0.3028725536255998,2.08079657736067
2016-02-10,0.3235967344543601,2.754135554858392
2016-02-11,0.3468565256748886,3.709425444654255
2016-02-12,0.27838597841209245,4.7420774764110405
2016-02-15,0.10383910400088467,5.234490552664339
2016-02-16,0.19590763226077668,6.259967202928214
2016-02-17,2.2279245116140083,20.206701576231765
2016-02-18,2.2584713651499757,65.84295847028208
2016-02-19,2.262948916076244,214.8422099718601
2016-02-22,2.2575211828412973,699.853049951772
2016-02-23,2.2583073189462755,2280.336314844732
2016-02-24,2.2344658981509884,7375.670046680581
2016-02-25,2.2457904277125804,23939.879235482233
2016-02-26,2.2625818858428075,78105.81634294869
2016-02-29,0.2623458109074688,98596.55006802939
2016-03-01,0.23646579905299941,121911.26206373503
2016-03-02,0.16564574927215658,142105.34441299667
2016-03-03,0.0818775883215096,153740.58730113035
2016-03-04,0.04157621553996604,160132.5390960031
2016-03-07,4.522390374483701,884314.3925454024
2016-03-08,2.131780376493668,2769478.4612246095
2016-03-09,2.12832819470732,8663837.554883588
2016-03-10,2.1413055035401376,27215760.592933543
2016-03-11,2.6769993441791926,100072333.85155456
2016-03-14,2.485366382254174,348788748.19992465
2016-03-15,0.1213709362050608,391121565.1067407
2016-03-16,0.09578812959619343,428586368.27305126
2016-03-17,0.11152798431936041,476385742.03329974
2016-03-18,0.09082896043606863,519655363.7487495
2016-03-21,0.09338703763200715,568184438.7588283
2016-03-22,0.05055910341696064,596911334.5579436
2016-03-23,0.10767640557318246,661184601.5090343
2016-03-24,0.09903024763881493,726661876.3314451
2016-03-28,0.14244977188562366,830174694.8528388
2016-03-29,0.13227011611247597,939981998.134663
2016-03-30,0.12853057808517915,1060798427.744573
2016-03-31,0.0789423795870024,1144540379.8928804
2016-04-01,0.07867537707778904,1234587525.8617086
2016-04-04,6.8961267190777935,9748459549.996784
2016-04-05,0.6179577998185148,15772596165.132586
2016-04-06,0.010394918909067304,15936551023.254604
2016-04-07,0.03386168616234066,16476189512.514181
2016-04-08,0.02318699709840812,16858222870.933672
2016-04-13,-0.0553117047994839,15925765824.052681
2016-04-14,-0.031449161958411506,15424913835.340313
2016-04-15,-0.05406322508374253,14590993246.762976
2016-04-18,0.00276133104656682,14631283809.41551
2016-04-19,-0.035860935504516946,14106592284.377777
2016-04-20,-0.016751105992948104,13870291261.82286
2016-04-21,0.0028905883161658708,13910384563.686104
